bismil بِسْمِ
mieata مِائَةَ
EAmiN عَامٍ
baEavahU بَعَثَهُ
labivta لَبِثْتَ
labivtu لَبِثْتُ
yWman يَوْمًا
baEMo بَعْضَ
yWmiN يَوْمٍ
faNZur فَانْظُرْ
poEAmika طَعَامِكَ
waXarObika وَشَرَابِكَ
yatasannah يَتَسَنَّهْ
waNZur وَانْظُرْ
HimArika حِمَارِكَ
walinaJEalaka وَلِنَجْعَلَكَ
eAyatal آيَةً
EiZOmi الْعِظَامِ
nuNXizuhA نُنْشِزُهَا
naksUhA نَكْسُوهَا
laHmaN لَحْمًا
robbi رَبِّ
earinI أَرِنِي
tuHyil تُحْيِي
eawalam أَوَلَمْ
tuemiN تُؤْمِنْ
liyaPmaeinna لِيَطْمَئِنَّ
qolbI قَلْبِي
faxuc فَخُذْ
earbaEatamm أَرْبَعَةً
minap مِنَ
pVri الطَّيْرِ
faSurhunna فَصُرْهُنَّ
vummaJ ثُمَّ
jabalimm جَبَلٍ
minhunna مِنْهُنَّ
juzeaN جُزْءًا
vummaD ثُمَّ
Euhunna ادْعُهُنَّ
yaetInaka يَأْتِينَكَ
saEyaww سَعْيًا
waElam وَاعْلَمْ
eamwAlahum أَمْوَالَهُمْ
kamavali كَمَثَلِ
Habbatin حَبَّةٍ
eammmbatat أَنْبَتَتْ
sanAbila سَنَابِلَ
summmbulatimm سُنْبُلَةٍ
mieatu مِائَةُ
Habbatiww حَبَّةٍ
yuMOEifu يُضَاعِفُ
yutbiEUna يُتْبِعُونَ
eaNfaqU أَنْفَقُوا
mannaww مَنًّا
walAA وَلَا
eacal أَذًى
qClumm قَوْلٌ
maErUfuww مَعْرُوفٌ
wamagfirotun وَمَغْفِرَةٌ
Sodaqotiyy صَدَقَةٍ
yatbaEuhAA يَتْبَعُهَا
eacaww أَذًى
goniyyun غَنِيٌّ
tubpilU تُبْطِلُوا
SodaqOtikummm صَدَقَاتِكُمْ
bilmanni بِالْمَنِّ
waleacA وَالْأَذَىٰ
yuNfiqu يُنْفِقُ
mAlahU مَالَهُ
rieAAean رِئَاءَ
famavaluhU فَمَثَلُهُ
SofwAnin صَفْوَانٍ
turObuN تُرَابٌ
faeaSObahU فَأَصَابَهُ
wAbiluN وَابِلٌ
fatarokahU فَتَرَكَهُ
Soldal صَلْدًا
yaqdirUna يَقْدِرُونَ
XYeimm شَيْءٍ
qCmal الْقَوْمَ
eamwAlahumuB أَمْوَالَهُمُ
watavbItamm وَتَثْبِيتًا
eaNfusihim أَنْفُسِهِمْ
jannatimmm جَنَّةٍ
biroBwatin بِرَبْوَةٍ
eaSObahA أَصَابَهَا
faeAtat فَآتَتْ
eukulahA أُكُلَهَا
MiEfYni ضِعْفَيْنِ
yuSiBhA يُصِبْهَا
fapolluww فَطَلٌّ
eayawaddu أَيَوَدُّ
eaHadukum أَحَدُكُمْ
jannatumm جَنَّةٌ
naxIliww نَخِيلٍ
waeaEnAbiN وَأَعْنَابٍ
kulliv كُلِّ
waeaSObahul وَأَصَابَهُ
kibaru الْكِبَرُ
walahU وَلَهُ
curriyyatuN ذُرِّيَّةٌ
MuEafAAeu ضُعَفَاءُ
faeaSObahAA فَأَصَابَهَا
eiESOruN إِعْصَارٌ
nAruN نَارٌ
faHtaroqot فَاحْتَرَقَتْ
wamimmAA وَمِمَّا
eaxroJnA أَخْرَجْنَا
tayammamUl تَيَمَّمُوا
xobIva الْخَبِيثَ
tuNfiqUna تُنْفِقُونَ
walastummm وَلَسْتُمْ
bieAxicIhi بِآخِذِيهِ
tugmiMU تُغْمِضُوا
HamID حَمِيدٌ
eaXXYpOnu الشَّيْطَانُ
yaEidukumul يَعِدُكُمُ
faQro الْفَقْرَ
wayaemurukummm وَيَأْمُرُكُمْ
bilfaHXAAei بِالْفَحْشَاءِ
yaEidukumm يَعِدُكُمْ
magfirotamm مَغْفِرَةً
wafaMlaww وَفَضْلًا
lHikmata الْحِكْمَةَ
yaccakkaru يَذَّكَّرُ
eulUl أُولُو
nafaqotin نَفَقَةٍ
nacartumm نَذَرْتُمْ
nacriN نَذْرٍ
yaElamuhU يَعْلَمُهُ
lilZZOlimIna لِلظَّالِمِينَ
eaNSOr أَنْصَارٍ
tubdUS تُبْدُوا
SodaqOti الصَّدَقَاتِ
faniEimmA فَنِعِمَّا
tuxfUhA تُخْفُوهَا
watuetUhAl وَتُؤْتُوهَا
fuqorOOea الْفُقَرَاءَ
wayukaffiru وَيُكَفِّرُ
sayyieAtikum سَيِّئَاتِكُمْ
hudAhum هُدَاهُمْ
tuNfiqU تُنْفِقُوا
falieaNfusikum فَلِأَنْفُسِكُمْ
eillAB إِلَّا
waJhil وَجْهِ
yuwaffa يُوَفَّ
eilYkum إِلَيْكُمْ
tuZlamUn تُظْلَمُونَ
lilfuqorOOeil لِلْفُقَرَاءِ
euHSirU أُحْصِرُوا
yastapIEUna يَسْتَطِيعُونَ
MorbaN ضَرْبًا
yaHsabuhumul يَحْسَبُهُمُ
jAhilu الْجَاهِلُ
eagniyAAea أَغْنِيَاءَ
minat مِنَ
taEaffufi التَّعَفُّفِ
taErifuhummm تَعْرِفُهُمْ
bisImAhum بِسِيمَاهُمْ
yasealUnan يَسْأَلُونَ
eilHAfaww إِلْحَافًا
eamwAlahummm أَمْوَالَهُمْ
billYli بِاللَّيْلِ
sirroww سِرًّا
waEalAniyataN وَعَلَانِيَةً
yaekulUnar يَأْكُلُونَ
ribA الرِّبَا
yaqUmUna يَقُومُونَ
yaqUmul يَقُومُ
yataxobbapuhuX يَتَخَبَّطُهُ
massi الْمَسِّ
einnamAl إِنَّمَا
bYEu الْبَيْعُ
mivlur مِثْلُ
waeaHallaL وَأَحَلَّ
bYEa الْبَيْعَ
waHarromar وَحَرَّمَ
jAAeahU جَاءَهُ
mWEiZotumm مَوْعِظَةٌ
faNtahA فَانْتَهَىٰ
salafa سَلَفَ
waeamruhUU وَأَمْرُهُ
eilaL إِلَى
EAda عَادَ
yamHaquL يَمْحَقُ
LAhur اللَّهُ
wayurbIS وَيُرْبِي
yuHibbu يُحِبُّ
kulla كُلَّ
kaffArin كَفَّارٍ
eavIm أَثِيمٍ
waeaqOmUS وَأَقَامُوا
waeAtawuz وَآتَوُا
eAmanUt آمَنُوا
taqUL اتَّقُوا
wacarU وَذَرُوا
baqiya بَقِيَ
minar مِنَ
ribAA الرِّبَا
faecanU فَأْذَنُوا
biHarbimm بِحَرْبٍ
warosUlihI وَرَسُولِهِ
tuBtum تُبْتُمْ
falakum فَلَكُمْ
rueUsu رُءُوسُ
eamwAlikum أَمْوَالِكُمْ
taZlimUna تَظْلِمُونَ
EusrotiN عُسْرَةٍ
fanaZirotun فَنَظِرَةٌ
mYsarotiww مَيْسَرَةٍ
taSoddaqU تَصَدَّقُوا
yWmaN يَوْمًا
turjaEUna تُرْجَعُونَ
tuwaffA تُوَفَّىٰ
nafsimm نَفْسٍ
yuZlamUn يُظْلَمُونَ
tadAyaNtummm تَدَايَنْتُمْ
bidYnin بِدَيْنٍ
eajalimm أَجَلٍ
musammaN مُسَمًّى
faktubUhu فَاكْتُبُوهُ
walyaktuB وَلْيَكْتُبْ
kAtibummm كَاتِبٌ
bilEaDli بِالْعَدْلِ
yaeba يَأْبَ
kAtibun كَاتِبٌ
yaktuba يَكْتُبَ
EallamahuL عَلَّمَهُ
falyaktuB فَلْيَكْتُبْ
walyumlilil وَلْيُمْلِلِ
walyattaqil وَلْيَتَّقِ
robbahU رَبَّهُ
yaBxos يَبْخَسْ
XYeaN شَيْئًا
kAnal كَانَ
safIhan سَفِيهًا
MoEIfan ضَعِيفًا
yastapIEu يَسْتَطِيعُ
yumilla يُمِلَّ
falyumlil فَلْيُمْلِلْ
waliyyuhU وَلِيُّهُ
wastaXhidU وَاسْتَشْهِدُوا
XahIdYni شَهِيدَيْنِ
rijAlikum رِجَالِكُمْ
yakUnA يَكُونَا
rojulYni رَجُلَيْنِ
farojuluww فَرَجُلٌ
wamroeatAni وَامْرَأَتَانِ
tarMCna تَرْضَوْنَ
minaX مِنَ
XuhadAAei الشُّهَدَاءِ
taMilla تَضِلَّ
eiHdAhumA إِحْدَاهُمَا
fatucakkiro فَتُذَكِّرَ
eiHdAhumAl إِحْدَاهُمَا
euxrO الْأُخْرَىٰ
yaebaX يَأْبَ
XuhadAAeu الشُّهَدَاءُ
duEU دُعُوا
taseamUU تَسْأَمُوا
taktubUhu تَكْتُبُوهُ
SogIron صَغِيرًا
kabIron كَبِيرًا
eajalihI أَجَلِهِ
eaQsapu أَقْسَطُ
waeaQwamu وَأَقْوَمُ
lilXXahAdati لِلشَّهَادَةِ
waeaDnAA وَأَدْنَىٰ
tartAbUU تَرْتَابُوا
tijArotan تِجَارَةً
HAMirotaN حَاضِرَةً
tudIrUnahA تُدِيرُونَهَا
taktubUhA تَكْتُبُوهَا
waeaXhidUU وَأَشْهِدُوا
tabAyaEtum تَبَايَعْتُمْ
yuMOOOrro يُضَارَّ
kAtibuww كَاتِبٌ
XahIduww شَهِيدٌ
fusUqummm فُسُوقٌ
bikum بِكُمْ
wayuEallimukumuL وَيُعَلِّمُكُمُ
safariww سَفَرٍ
tajidU تَجِدُوا
kAtibaN كَاتِبًا
farihAnumm فَرِهَانٌ
maqbUMotuN مَقْبُوضَةٌ
eamina أَمِنَ
baEMukummm بَعْضُكُمْ
baEMoN بَعْضًا
falyueaddil فَلْيُؤَدِّ
etumina اؤْتُمِنَ
eamAnatahU أَمَانَتَهُ
taktumUX تَكْتُمُوا
XahAdata الشَّهَادَةَ
yaktumhA يَكْتُمْهَا
faeinnahUU فَإِنَّهُ
eAvimuN آثِمٌ
qolbuhU قَلْبُهُ
tubdU تُبْدُوا
tuxfUhu تُخْفُوهُ
yuHAsiBkummm يُحَاسِبْكُمْ
fayagfiru فَيَغْفِرُ
wayuEaccibu وَيُعَذِّبُ
eAmanar آمَنَ
walmueminUna وَالْمُؤْمِنُونَ
kullun كُلٌّ
wakutubihI وَكُتُبِهِ
rusulihI رُسُلِهِ
waeapoEnA وَأَطَعْنَا
gufrOnaka غُفْرَانَكَ
waeilYkal وَإِلَيْكَ
yukallifuL يُكَلِّفُ
nafsan نَفْسًا
waEalYhA وَعَلَيْهَا
ktasabat اكْتَسَبَتْ
tueAxicnAA تُؤَاخِذْنَا
einn إِنْ
nasInAA نَسِينَا
eaxpoenA أَخْطَأْنَا
taHmil تَحْمِلْ
eiSroN إِصْرًا
HamaltahU حَمَلْتَهُ
qoBlinA قَبْلِنَا
tuHammilnA تُحَمِّلْنَا
waEfu وَاعْفُ
EannA عَنَّا
wagfir وَاغْفِرْ
warHamnAA وَارْحَمْنَا
mWlAnA مَوْلَانَا
faNSurnA فَانْصُرْنَا
qoyyUm الْقَيُّومُ
nazzala نَزَّلَ
EalYkal عَلَيْكَ
waeaNzalat وَأَنْزَلَ
tWrOta التَّوْرَاةَ
waleiNjIl وَالْإِنْجِيلَ
waeaNzalal وَأَنْزَلَ
furqOna الْفُرْقَانَ
EacAbuN عَذَابٌ
XadIduww شَدِيدٌ
EazIzuN عَزِيزٌ
cUN ذُو
tiqOm انْتِقَامٍ
yaxfA يَخْفَىٰ
samAAe السَّمَاءِ
yuSowwirukum يُصَوِّرُكُمْ
earHAmi الْأَرْحَامِ
eAyAtumm آيَاتٌ
muHkamAtun مُحْكَمَاتٌ
eummul أُمُّ
waeuxoru وَأُخَرُ
mutaXAbihAtuN مُتَشَابِهَاتٌ
zYguN زَيْغٌ
fayattabiEUna فَيَتَّبِعُونَ
minhuB مِنْهُ
tigOOeal ابْتِغَاءَ
fitnati الْفِتْنَةِ
waBtigOOea وَابْتِغَاءَ
taewIlihI تَأْوِيلِهِ
taewIlahUU تَأْوِيلَهُ
warrOsixUna وَالرَّاسِخُونَ
kullumm كُلٌّ
robbinA رَبِّنَا
tuzig تُزِغْ
qulUbanA قُلُوبَنَا
hadYtanA هَدَيْتَنَا
wahaB وَهَبْ
mil مِنْ
laduNka لَدُنْكَ
roHmatan رَحْمَةً
wahhAB الْوَهَّابُ
jAmiEun جَامِعُ
liyWmil لِيَوْمٍ
yuxliful يُخْلِفُ
mIEAD الْمِيعَادَ
tugniya تُغْنِيَ
Eanhum عَنْهُمْ
eamwAluhum أَمْوَالُهُمْ
eWlAduhumm أَوْلَادُهُمْ
waqUdun وَقُودُ
kadaebi كَدَأْبِ
qoBlihim قَبْلِهِمْ
kaccabU كَذَّبُوا
bieAyAtinA بِآيَاتِنَا
faeaxocahumuL فَأَخَذَهُمُ
bicunUbihim بِذُنُوبِهِمْ
satuglabUna سَتُغْلَبُونَ
watuHXarUna وَتُحْشَرُونَ
jahannama جَهَنَّمَ
fieatYnil فِئَتَيْنِ
taqotA الْتَقَتَا
fieatuN فِئَةٌ
tuqOtilu تُقَاتِلُ
waeuxrO وَأُخْرَىٰ
kAfirotuyy كَافِرَةٌ
yarCnahumm يَرَوْنَهُمْ
mivlYhim مِثْلَيْهِمْ
roeyal رَأْيَ
EYni الْعَيْنِ
yueayyidu يُؤَيِّدُ
binaSrihI بِنَصْرِهِ
laEiBrotal لَعِبْرَةً
lieulIl لِأُولِي
eaBSOr الْأَبْصَارِ
HubbuX حُبُّ
XahawAti الشَّهَوَاتِ
walbanIna وَالْبَنِينَ
walqonApIril وَالْقَنَاطِيرِ
muqoNporoti الْمُقَنْطَرَةِ
minac مِنَ
cahabi الذَّهَبِ
walfiMMoti وَالْفِضَّةِ
walxVlil وَالْخَيْلِ
musawwamati الْمُسَوَّمَةِ
waleanEAmi وَالْأَنْعَامِ
walHarvi وَالْحَرْثِ
matAEu مَتَاعُ
Husnul حُسْنُ
maeAB الْمَآبِ
eaeunabbieukummm أَؤُنَبِّئُكُمْ
lillacInat لِلَّذِينَ
jannAtuN جَنَّاتٌ
waeazwAjumm وَأَزْوَاجٌ
wariMwAnumm وَرِضْوَانٌ
einnanAA إِنَّنَا
fagfir فَاغْفِرْ
cunUbanA ذُنُوبَنَا
eaSSObirIna الصَّابِرِينَ
waSSOdiqIna وَالصَّادِقِينَ
walqOnitIna وَالْقَانِتِينَ
walmuNfiqIna وَالْمُنْفِقِينَ
walmustagfirIna وَالْمُسْتَغْفِرِينَ
bileasHAr بِالْأَسْحَارِ
XahidaL شَهِدَ
eannahU أَنَّهُ
waeulUl وَأُولُو
qOOeimammm قَائِمًا
bilqispi بِالْقِسْطِ
einnad إِنَّ
LAhil اللَّهِ
eislAmu الْإِسْلَامُ
xtalafal اخْتَلَفَ
jAAeahumul جَاءَهُمُ
Eilmu الْعِلْمُ
HAAAjjUka حَاجُّوكَ
faqul فَقُلْ
waJhiya وَجْهِيَ
wamanit وَمَنِ
tabaEani اتَّبَعَنِ
waqul وَقُلْ
waleummiyyIna وَالْأُمِّيِّينَ
eaeaslamtum أَأَسْلَمْتُمْ
easlamU أَسْلَمُوا
balAgu الْبَلَاغُ
Haqqiww حَقٍّ
wayaQtulUnal وَيَقْتُلُونَ
yaemurUna يَأْمُرُونَ
fabaXXirhummm فَبَشِّرْهُمْ
biEacAbin بِعَذَابٍ
ealIm أَلِيمٍ
nASirIn نَاصِرِينَ
eUtU أُوتُوا
naSIbamm نَصِيبًا
yuDEWna يُدْعَوْنَ
kitAbil كِتَابِ
yatawallA يَتَوَلَّىٰ
wahumm وَهُمْ
maEdUdAtiww مَعْدُودَاتٍ
wagorrohum وَغَرَّهُمْ
dInihimm دِينِهِمْ
yaftarUn يَفْتَرُونَ
fakYfa فَكَيْفَ
jamaEnAhum جَمَعْنَاهُمْ
wawuffiyat وَوُفِّيَتْ
lahumma اللَّهُمَّ
mAlikal مَالِكَ
mulki الْمُلْكِ
tuetIl تُؤْتِي
taXAAeu تَشَاءُ
wataNziEul وَتَنْزِعُ
watuEizzu وَتُعِزُّ
watucillu وَتُذِلُّ
biyadikal بِيَدِكَ
xVru الْخَيْرُ
tUlijul تُولِجُ
lYla اللَّيْلَ
fIn فِي
nahAri النَّهَارِ
watUlijun وَتُولِجُ
nahAro النَّهَارَ
watuxriju وَتُخْرِجُ
lHayya الْحَيَّ
mayyiti الْمَيِّتِ
watuxrijul وَتُخْرِجُ
mayyita الْمَيِّتَ
lHayyi الْحَيِّ
watarzuqu وَتَرْزُقُ
yattaxicil يَتَّخِذِ
mueminUnal الْمُؤْمِنُونَ
kAfirIna الْكَافِرِينَ
eWliyAAea أَوْلِيَاءَ
mueminIna الْمُؤْمِنِينَ
tattaqU تَتَّقُوا
tuqOtaww تُقَاةً
wayuHaccirukumuL وَيُحَذِّرُكُمُ
tuxfU تُخْفُوا
SudUrikum صُدُورِكُمْ
tubdUhu تُبْدُوهُ
wayaElamu وَيَعْلَمُ
tajidu تَجِدُ
Eamilat عَمِلَتْ
muHMoroww مُحْضَرًا
sUUeiN سُوءٍ
tawaddu تَوَدُّ
bYnahA بَيْنَهَا
wabYnahUU وَبَيْنَهُ
eamadammm أَمَدًا
baEIdaww بَعِيدًا
tuHibbUnaL تُحِبُّونَ
fattabiEUnI فَاتَّبِعُونِي
yuHbiBkumuL يُحْبِبْكُمُ
wayagfir وَيَغْفِرْ
cunUbakum ذُنُوبَكُمْ
eapIEUL أَطِيعُوا
warrosUla وَالرَّسُولَ
SpofAA اصْطَفَىٰ
eAdama آدَمَ
wanUHaww وَنُوحًا
waeAla وَآلَ
EimrOna عِمْرَانَ
curriyyatammm ذُرِّيَّةً
baEMuhA بَعْضُهَا
qOlatim قَالَتِ
roeatu امْرَأَتُ
nacartu نَذَرْتُ
baPnI بَطْنِي
muHarroroN مُحَرَّرًا
fataqobbal فَتَقَبَّلْ
waMoEathA وَضَعَتْهَا
qOlat قَالَتْ
waMoEtuhAA وَضَعْتُهَا
euNvA أُنْثَىٰ
waMoEat وَضَعَتْ
walYsac وَلَيْسَ
cakaru الذَّكَرُ
kaleuNvA كَالْأُنْثَىٰ
waeinnI وَإِنِّي
sammYtuhA سَمَّيْتُهَا
maryama مَرْيَمَ
waeinnII وَإِنِّي
euEIcuhA أُعِيذُهَا
bika بِكَ
wacurriyyatahA وَذُرِّيَّتَهَا
XYpOnir الشَّيْطَانِ
rojIm الرَّجِيمِ
fataqobbalahA فَتَقَبَّلَهَا
robbuhA رَبُّهَا
biqobUlin بِقَبُولٍ
Hasaniww حَسَنٍ
waeammmbatahA وَأَنْبَتَهَا
nabAtan نَبَاتًا
Hasanaww حَسَنًا
wakaffalahA وَكَفَّلَهَا
zakariyyA زَكَرِيَّا
daxola دَخَلَ
zakariyyAl زَكَرِيَّا
miHrOba الْمِحْرَابَ
wajada وَجَدَ
EiNdahA عِنْدَهَا
yAmaryamu يَامَرْيَمُ
laki لَكِ
hunAlika هُنَالِكَ
daEA دَعَا
haB هَبْ
curriyyataN ذُرِّيَّةً
poyyibatan طَيِّبَةً
samIEud سَمِيعُ
duEAAe الدُّعَاءِ
fanAdathul فَنَادَتْهُ
qOOeimuyy قَائِمٌ
yuSollI يُصَلِّي
miHrObi الْمِحْرَابِ
yubaXXiruka يُبَشِّرُكَ
biyaHyA بِيَحْيَىٰ
muSoddiqommm مُصَدِّقًا
bikalimatimm بِكَلِمَةٍ
wasayyidaww وَسَيِّدًا
waHaSUroww وَحَصُورًا
wanabiyyamm وَنَبِيًّا
gulAmuww غُلَامٌ
balagoniyal بَلَغَنِيَ
wamroeatI وَامْرَأَتِي
EAqiruN عَاقِرٌ
kacAlikaL كَذَٰلِكَ
yaXAAe يَشَاءُ
lII لِي
eAyataN آيَةً
eAyatuka آيَتُكَ
tukalliman تُكَلِّمَ
romzaww رَمْزًا
wackur وَاذْكُرْ
wasabbiH وَسَبِّحْ
bilEaXiyyi بِالْعَشِيِّ
waleiBkAr وَالْإِبْكَارِ
qOlatil قَالَتِ
SpofAki اصْطَفَاكِ
wapohharoki وَطَهَّرَكِ
waSpofAki وَاصْطَفَاكِ
nisAAeil نِسَاءِ
yAmaryamuQ يَامَرْيَمُ
nutI اقْنُتِي
lirobbiki لِرَبِّكِ
wasjudI وَاسْجُدِي
warkaEI وَارْكَعِي
eammmbAAeil أَنْبَاءِ
gVbi الْغَيْبِ
nUHIhi نُوحِيهِ
ladYhim لَدَيْهِمْ
yulqUna يُلْقُونَ
eaQlAmahum أَقْلَامَهُمْ
eayyuhum أَيُّهُمْ
yakfulu يَكْفُلُ
yaxtaSimUn يَخْتَصِمُونَ
yubaXXiruki يُبَشِّرُكِ
smuhul اسْمُهُ
masIHu الْمَسِيحُ
nu ابْنُ
wajIhaN وَجِيهًا
muqorrobIn الْمُقَرَّبِينَ
wayukallimun وَيُكَلِّمُ
mahdi الْمَهْدِ
wakahlaww وَكَهْلًا
waminaS وَمِنَ
waladuww وَلَدٌ
yamsasnI يَمْسَسْنِي
baXaruN بَشَرٌ
kacAlikil كَذَٰلِكِ
yaxluqu يَخْلُقُ
wayuEallimuhul وَيُعَلِّمُهُ
wattWrOta وَالتَّوْرَاةَ
warosUlan وَرَسُولًا
eannI أَنِّي
jietukummm جِئْتُكُمْ
bieAyatimm بِآيَةٍ
eannII أَنِّي
eaxluqu أَخْلُقُ
pIni الطِّينِ
kahYeatip كَهَيْئَةِ
faeaNfuxu فَأَنْفُخُ
fayakUnu فَيَكُونُ
pVrommm طَيْرًا
waeuBrieul وَأُبْرِئُ
eakmaha الْأَكْمَهَ
waleaBroSo وَالْأَبْرَصَ
waeuHyil وَأُحْيِي
waeunabbieukummm وَأُنَبِّئُكُمْ
taekulUna تَأْكُلُونَ
taddaxirUna تَدَّخِرُونَ
buyUtikum بُيُوتِكُمْ
wamuSoddiqol وَمُصَدِّقًا
yadayya يَدَيَّ
tWrOti التَّوْرَاةِ
walieuHilla وَلِأُحِلَّ
lakummm لَكُمْ
baEMol بَعْضَ
Hurrima حُرِّمَ
wajietukummm وَجِئْتُكُمْ
fattaqUL فَاتَّقُوا
waeapIEUn وَأَطِيعُونِ
robbI رَبِّي
faEbudUhu فَاعْبُدُوهُ
SirOpumm صِرَاطٌ
mustaqIm مُسْتَقِيمٌ
eaHassa أَحَسَّ
EIsA عِيسَىٰ
minhumul مِنْهُمُ
eaNSOrII أَنْصَارِي
lHawAriyyUna الْحَوَارِيُّونَ
eaNSOruL أَنْصَارُ
waXhaD وَاشْهَدْ
bieannA بِأَنَّا
eaNzalta أَنْزَلْتَ
wattabaEnAr وَاتَّبَعْنَا
faktuBnA فَاكْتُبْنَا
maEaX مَعَ
XAhidIn الشَّاهِدِينَ
wamakarU وَمَكَرُوا
wamakarol وَمَكَرَ
xVrul خَيْرُ
mAkirIn الْمَاكِرِينَ
qOlaL قَالَ
yAEIsAA يَاعِيسَىٰ
mutawaffIka مُتَوَفِّيكَ
warOfiEuka وَرَافِعُكَ
eilayya إِلَيَّ
wamupohhiruka وَمُطَهِّرُكَ
wajAEilul وَجَاعِلُ
tabaEUka اتَّبَعُوكَ
fWqol فَوْقَ
yWmil يَوْمِ
marjiEukum مَرْجِعُكُمْ
faeaHkumu فَأَحْكُمُ
taxtalifUn تَخْتَلِفُونَ
faeuEaccibuhum فَأُعَذِّبُهُمْ
EacAbaN عَذَابًا
XadIdaN شَدِيدًا
fayuwaffIhim فَيُوَفِّيهِمْ
eujUrohum أُجُورَهُمْ
yuHibbuZ يُحِبُّ
natlUhu نَتْلُوهُ
waccikri وَالذِّكْرِ
lHakIm الْحَكِيمِ
mavala مَثَلَ
xolaqohU خَلَقَهُ
turObiN تُرَابٍ
takumm تَكُنْ
HAAAjjaka حَاجَّكَ
taEAlW تَعَالَوْا
naDEu نَدْعُ
eaBnAAeanA أَبْنَاءَنَا
waeaBnAAeakum وَأَبْنَاءَكُمْ
wanisAAeanA وَنِسَاءَنَا
wanisAAeakum وَنِسَاءَكُمْ
waeaNfusanA وَأَنْفُسَنَا
waeaNfusakum وَأَنْفُسَكُمْ
naBtahil نَبْتَهِلْ
fanaJEal فَنَجْعَلْ
laEnataL لَعْنَتَ
kAcibIn الْكَاذِبِينَ
lahuwal لَهُوَ
qoSoSu الْقَصَصُ
eilAhin إِلَٰهٍ
waeinnaL وَإِنَّ
bilmufsidIn بِالْمُفْسِدِينَ
yAAeahlal يَاأَهْلَ
kalimatiN كَلِمَةٍ
sawAAeimmm سَوَاءٍ
bYnanA بَيْنَنَا
wabYnakum وَبَيْنَكُمْ
naEbuda نَعْبُدَ
nuXrika نُشْرِكَ
yattaxica يَتَّخِذَ
baEMunA بَعْضُنَا
baEMon بَعْضًا
earbAbamm أَرْبَابًا
faqUlU فَقُولُوا
XhadU اشْهَدُوا
lima لِمَ
tuHAAAjjUna تُحَاجُّونَ
euNzilatit أُنْزِلَتِ
tWrOtu التَّوْرَاةُ
waleiNjIlu وَالْإِنْجِيلُ
baEdihII بَعْدِهِ
hAAeaNtum هَاأَنْتُمْ
HAjaJtum حَاجَجْتُمْ
EilmuN عِلْمٌ
Eilmuww عِلْمٌ
yahUdiyyaww يَهُودِيًّا
naSrOniyyaww نَصْرَانِيًّا
HanIfamm حَنِيفًا
muslimaww مُسْلِمًا
eWlan أَوْلَى
bieiBrOhIma بِإِبْرَاهِيمَ
lallacInat لَلَّذِينَ
tabaEUhu اتَّبَعُوهُ
wahAcAn وَهَٰذَا
nabiyyu النَّبِيُّ
waddaPp وَدَّتْ
pOOeifatumm طَائِفَةٌ
yuMillUnakum يُضِلُّونَكُمْ
yuMillUna يُضِلُّونَ
talbisUna تَلْبِسُونَ
wataktumUna وَتَكْتُمُونَ
waqOlaPp وَقَالَتْ
billacII بِالَّذِي
waJhan وَجْهَ
wakfurUU وَاكْفُرُوا
eAxirohU آخِرَهُ
tueminUU تُؤْمِنُوا
limaN لِمَنْ
dInakum دِينَكُمْ
yuetAA يُؤْتَىٰ
eaHadumm أَحَدٌ
eUtItum أُوتِيتُمْ
yuHAAAjjUkum يُحَاجُّوكُمْ
biyadil بِيَدِ
yuetIhi يُؤْتِيهِ
taemanhu تَأْمَنْهُ
biqiNpOriyy بِقِنْطَارٍ
yueaddihII يُؤَدِّهِ
bidInAril بِدِينَارٍ
dumta دُمْتَ
qOOeimaN قَائِمًا
eummiyyIna الْأُمِّيِّينَ
sabIluww سَبِيلٌ
wayaqUlUna وَيَقُولُونَ
kaciba الْكَذِبَ
eWfA أَوْفَىٰ
biEahdihI بِعَهْدِهِ
wattaqO وَاتَّقَىٰ
yaXtarUna يَشْتَرُونَ
biEahdil بِعَهْدِ
waeYmAnihim وَأَيْمَانِهِمْ
xolAqo خَلَاقَ
yaNZuru يَنْظُرُ
eilYhim إِلَيْهِمْ
lafarIqoyy لَفَرِيقًا
yalwUna يَلْوُونَ
ealsinatahummm أَلْسِنَتَهُمْ
bilkitAbi بِالْكِتَابِ
litaHsabUhu لِتَحْسَبُوهُ
libaXarin لِبَشَرٍ
yuetiyahuL يُؤْتِيَهُ
walHukma وَالْحُكْمَ
wannubuwwata وَالنُّبُوَّةَ
yaqUla يَقُولَ
EibAdal عِبَادًا
robbAniyyIna رَبَّانِيِّينَ
tuEallimUnal تُعَلِّمُونَ
wabimA وَبِمَا
taDrusUn تَدْرُسُونَ
yaemurokum يَأْمُرَكُمْ
tattaxicUl تَتَّخِذُوا
malAAeikata الْمَلَائِكَةَ
earbAban أَرْبَابًا
eayaemurukummm أَيَأْمُرُكُمْ
bilkufri بِالْكُفْرِ
eaNtumm أَنْتُمْ
eaxocaL أَخَذَ
mIvAqon مِيثَاقَ
lamAA لَمَا
eAtYtukumm آتَيْتُكُمْ
kitAbiww كِتَابٍ
waHikmatiN وَحِكْمَةٍ
latueminunna لَتُؤْمِنُنَّ
walataNSurunnahU وَلَتَنْصُرُنَّهُ
eaeaQrortum أَأَقْرَرْتُمْ
waeaxoctum وَأَخَذْتُمْ
eiSrI إِصْرِي
eaQrornA أَقْرَرْنَا
faXhadU فَاشْهَدُوا
waeana وَأَنَا
